,precision,recall,f1-score,support
化验,1.0,0.028985507246376812,0.05633802816901409,69.0
区域销售,0.8409090909090909,0.19680851063829788,0.31896551724137934,188.0
区域销售总监,0.0,0.0,0.0,94.0
区域销售经理,0.0,0.0,0.0,194.0
医生,0.788659793814433,0.9444444444444444,0.8595505617977527,162.0
医药代表,0.6255924170616114,0.7810650887573964,0.6947368421052631,338.0
厨师,0.8555555555555555,0.8235294117647058,0.8392370572207085,374.0
发型师,0.94140625,0.8607142857142858,0.8992537313432837,280.0
后勤,0.8571428571428571,0.0594059405940594,0.11111111111111112,202.0
后勤人员,0.0,0.0,0.0,72.0
后厨,0.7811550151975684,0.6763157894736842,0.7249647390691114,380.0
后期制作,0.7222222222222222,0.5571428571428572,0.6290322580645162,70.0
呼叫中心客服,0.0,0.0,0.0,69.0
咨询|法律|教育|翻译,0.0,0.0,0.0,69.0
咨询热线,0.0,0.0,0.0,151.0
售前,0.6026011560693642,0.6337386018237082,0.6177777777777778,658.0
售后服务,0.5714285714285714,0.22857142857142856,0.32653061224489793,70.0
商务助理,0.0,0.0,0.0,94.0
商务司机,0.5961538461538461,0.859122401847575,0.7038789025543992,433.0
团购业务员,0.7611940298507462,0.30538922155688625,0.4358974358974359,167.0
土木,0.22580645161290322,0.3181818181818182,0.2641509433962264,88.0
培训师,0.3953488372093023,0.8181818181818182,0.5331010452961673,187.0
培训讲师,0.0,0.0,0.0,101.0
外语培训师,0.0,0.0,0.0,88.0
外语教师,0.30903790087463556,0.7681159420289855,0.4407484407484407,138.0
大堂经理,0.7222222222222222,0.48663101604278075,0.5814696485623003,187.0
大客户管理,0.0,0.0,0.0,69.0
大客户销售,0.3333333333333333,0.004975124378109453,0.00980392156862745,402.0
大客户销售代表,0.0,0.0,0.0,179.0
娱乐厅服务员,0.4626865671641791,0.22962962962962963,0.3069306930693069,135.0
学徒,0.6382978723404256,0.7441860465116279,0.6871868289191123,645.0
学徒工,0.7910447761194029,0.38405797101449274,0.5170731707317073,138.0
客户代表,0.0,0.0,0.0,331.0
客户咨询热线,0.0,0.0,0.0,114.0
客户经理,0.0,0.0,0.0,118.0
客房服务员,0.6761904761904762,0.5916666666666667,0.6311111111111112,120.0
室内装潢设计,0.16666666666666666,0.006289308176100629,0.012121212121212123,159.0
室内设计,0.5,0.2366412213740458,0.32124352331606215,131.0
家具,0.46774193548387094,0.6492537313432836,0.54375,134.0
导购员,0.6164705882352941,0.5527426160337553,0.5828698553948833,948.0
小学教师,0.4727272727272727,0.11711711711711711,0.18772563176895307,222.0
工程监理,0.9090909090909091,0.49504950495049505,0.641025641025641,101.0
工程造价,0.5639344262295082,0.8865979381443299,0.68937875751503,194.0
工程造价师,0.0,0.0,0.0,79.0
市场,0.518918918918919,0.2206896551724138,0.3096774193548387,435.0
市场经理,0.7317073170731707,0.20833333333333334,0.3243243243243243,144.0
市场营销,0.0,0.0,0.0,89.0
平面设计,0.6435246995994659,0.8426573426573427,0.7297501892505677,572.0
平面设计师,0.5934065934065934,0.27835051546391754,0.37894736842105264,194.0
幼教,0.7058823529411765,0.7840290381125227,0.7429062768701634,551.0
广告设计,0.8604651162790697,0.39361702127659576,0.54014598540146,94.0
店员,0.7394722066254913,0.7280265339966833,0.7337047353760445,1809.0
店长,0.7570370370370371,0.7448979591836735,0.7509184423218221,686.0
建筑工程师,1.0,0.013157894736842105,0.025974025974025976,76.0
建筑施工现场管理,1.0,0.011627906976744186,0.022988505747126436,86.0
建筑设计师,0.5170068027210885,0.7755102040816326,0.620408163265306,98.0
快递员,0.8212121212121212,0.6391509433962265,0.7188328912466844,424.0
总机,0.0,0.0,0.0,191.0
总裁助理,0.5900900900900901,0.6649746192893401,0.6252983293556085,197.0
房产经纪人,0.31624605678233436,0.5897058823529412,0.41170431211498976,680.0
房地产中介,0.0,0.0,0.0,79.0
房地产销售,0.0,0.0,0.0,248.0
技工,0.6666666666666666,0.14473684210526316,0.23783783783783782,152.0
技术员,0.6,0.189873417721519,0.28846153846153844,79.0
技术支持,0.4230769230769231,0.6353790613718412,0.5079365079365079,277.0
技术研发工程师,0.3333333333333333,0.1411764705882353,0.19834710743801653,85.0
投资,0.42152466367713004,0.3821138211382114,0.4008528784648187,246.0
护士,0.9437086092715232,0.8769230769230769,0.9090909090909091,325.0
按摩师,0.8505747126436781,0.48366013071895425,0.6166666666666667,153.0
接待,0.6446153846153846,0.743566992014197,0.6905644829007004,1127.0
摄影师,0.7444444444444445,0.9305555555555556,0.8271604938271605,144.0
操作工,0.7714285714285715,0.14516129032258066,0.24434389140271495,372.0
收银员,0.874251497005988,0.7604166666666666,0.8133704735376045,768.0
教学,0.5127388535031847,0.644,0.5709219858156027,250.0
教师,0.8028391167192429,0.5467239527389903,0.6504792332268371,931.0
文员,0.708029197080292,0.5175304878048781,0.5979744605900486,1312.0
文案,0.45955882352941174,0.6756756756756757,0.5470459518599562,185.0
文案策划,0.0,0.0,0.0,79.0
文档,0.8571428571428571,0.075,0.13793103448275862,80.0
新媒体运营,0.4558139534883721,0.7538461538461538,0.5681159420289855,260.0
施工员,0.35267857142857145,0.6638655462184874,0.4606413994169096,119.0
普工,0.7232883817427386,0.8845543926419284,0.7958339278071052,3153.0
服务员,0.735711019661637,0.845063025210084,0.786604742116842,1904.0
机动车司机,0.4166666666666667,0.05,0.08928571428571429,100.0
机械工程师,0.4037433155080214,0.8435754189944135,0.546112115732369,179.0
机电工程师,0.0,0.0,0.0,76.0
汽车,0.5333333333333333,0.5274725274725275,0.5303867403314917,91.0
汽车修理工,0.6449511400651465,0.8114754098360656,0.7186932849364792,244.0
汽车美容,0.7339901477832512,0.8370786516853933,0.7821522309711286,178.0
汽车销售,0.7666666666666667,0.7443365695792881,0.7553366174055829,309.0
洗碗工,0.9308176100628931,0.8505747126436781,0.888888888888889,174.0
洗车工,0.9135802469135802,0.8131868131868132,0.8604651162790699,91.0
活动策划,0.7608695652173914,0.32407407407407407,0.45454545454545453,108.0
淘宝客服,0.6685714285714286,0.7005988023952096,0.6842105263157894,501.0
淘宝美工,0.5958904109589042,0.7873303167420814,0.6783625730994153,221.0
渠道,0.3611111111111111,0.037463976945244955,0.06788511749347259,347.0
渠道专员,0.6071428571428571,0.19101123595505617,0.29059829059829057,89.0
游戏设计,0.45454545454545453,0.7228915662650602,0.5581395348837209,83.0
物业管理,0.0,0.0,0.0,78.0
物业维修,0.5526315789473685,0.45652173913043476,0.5,92.0
理货员,0.6271186440677966,0.39361702127659576,0.48366013071895425,94.0
生产经理,0.7407407407407407,0.8333333333333334,0.7843137254901961,72.0
生物工程,0.7142857142857143,0.6919642857142857,0.7029478458049886,224.0
电子商务专员,0.0,0.0,0.0,110.0
电工,0.7651006711409396,0.7450980392156863,0.7549668874172185,306.0
电气工程师,0.47794117647058826,0.8387096774193549,0.6088992974238876,155.0
电话客服,0.5183823529411765,0.39058171745152354,0.4454976303317536,361.0
电话销售,0.41232032854209444,0.5892018779342723,0.48514133848755736,1704.0
硬件工程师,0.6790123456790124,0.5045871559633027,0.5789473684210527,109.0
秘书,0.6521739130434783,0.07281553398058252,0.13100436681222707,206.0
签约艺人,0.2893772893772894,0.8777777777777778,0.4352617079889807,90.0
算法工程师,0.725,0.8405797101449275,0.778523489932886,69.0
组装工,0.6923076923076923,0.15789473684210525,0.2571428571428571,114.0
经理,0.0,0.0,0.0,120.0
给排水,0.5333333333333333,0.5581395348837209,0.5454545454545454,86.0
统计员,0.78,0.47560975609756095,0.5909090909090909,82.0
维护工程师,0.625,0.035211267605633804,0.06666666666666668,142.0
综合维修工,0.6194029850746269,0.5971223021582733,0.6080586080586081,139.0
缝纫工,0.7126436781609196,0.8266666666666667,0.7654320987654321,75.0
网店,0.5588235294117647,0.0979381443298969,0.16666666666666666,194.0
网店运营,0.4233128834355828,0.7638376383763837,0.5447368421052632,271.0
网站编辑,0.625,0.07142857142857142,0.1282051282051282,70.0
网站运营,0.0,0.0,0.0,82.0
网站运营专员,0.6666666666666666,0.014492753623188406,0.028368794326241138,138.0
网络,0.46008869179600886,0.422177009155646,0.44031830238726793,983.0
网络推广,0.3333333333333333,0.19626168224299065,0.24705882352941178,107.0
网络推广专员,0.23880597014925373,0.16494845360824742,0.1951219512195122,97.0
网络管理员,0.0,0.0,0.0,74.0
网络销售,0.4829787234042553,0.41651376146788993,0.44729064039408867,545.0
置业顾问,0.28708791208791207,0.4717832957110609,0.3569598633646456,886.0
美容导师,0.616822429906542,0.673469387755102,0.6439024390243901,98.0
美容师,0.8922829581993569,0.8922829581993569,0.8922829581993569,622.0
美容店长,0.8051948051948052,0.7045454545454546,0.7515151515151516,88.0
美甲师,0.9513513513513514,0.9263157894736842,0.9386666666666668,190.0
育婴师,0.7941176470588235,0.627906976744186,0.7012987012987012,86.0
舞蹈老师,0.6101694915254238,0.6,0.6050420168067226,120.0
英语翻译,0.7244897959183674,0.6454545454545455,0.6826923076923077,110.0
装修装潢设计,0.3424908424908425,0.8348214285714286,0.48571428571428577,224.0
装卸,0.8283582089552238,0.6529411764705882,0.7302631578947368,170.0
证券,0.49404761904761907,0.5971223021582733,0.5407166123778502,139.0
课程顾问,0.5293172690763053,0.8095823095823096,0.6401165614375911,814.0
财务主管,0.0,0.0,0.0,155.0
财务助理,0.0,0.0,0.0,87.0
财务总监,0.3333333333333333,0.029411764705882353,0.05405405405405406,68.0
财务经理,0.47533632286995514,0.6022727272727273,0.531328320802005,176.0
货运司机,0.8364485981308412,0.8876033057851239,0.8612670408981556,605.0
质量检验员,0.7442528735632183,0.752906976744186,0.7485549132947976,344.0
质量管理,0.6212121212121212,0.45555555555555555,0.5256410256410255,90.0
资料员,0.8244274809160306,0.7397260273972602,0.7797833935018051,146.0
足疗师,0.6867469879518072,0.8724489795918368,0.7685393258426967,196.0
车工,0.7,0.7677419354838709,0.7323076923076922,155.0
软件工程师,0.5119047619047619,0.8420365535248042,0.6367226061204343,766.0
软件测试,0.8282208588957055,0.8709677419354839,0.8490566037735848,155.0
软件研发工程师,0.0,0.0,0.0,77.0
迎宾,0.42424242424242425,0.4772727272727273,0.44919786096256686,88.0
送餐员,0.7442129629629629,0.9120567375886525,0.8196303377947737,705.0
通信技术工程师,0.8,0.05333333333333334,0.1,75.0
造价师,0.7346938775510204,0.391304347826087,0.5106382978723404,92.0
配菜,0.8624338624338624,0.7874396135265701,0.8232323232323233,207.0
酒吧服务员,0.0,0.0,0.0,84.0
采购助理,1.0,0.041666666666666664,0.07999999999999999,96.0
采购员,0.7065217391304348,0.3217821782178218,0.4421768707482993,202.0
金融产品销售,0.20224719101123595,0.13333333333333333,0.1607142857142857,135.0
销售业务跟单,0.0,0.0,0.0,95.0
销售主管,0.3790322580645161,0.0914396887159533,0.14733542319749215,514.0
销售代表,0.5627848678213309,0.6169123157631776,0.5886068406626147,8006.0
销售助理,0.6784140969162996,0.25370675453047775,0.36930455635491605,607.0
销售工程师,0.40445859872611467,0.6334164588528678,0.4936831875607386,401.0
销售总监,0.3276661514683153,0.4598698481561822,0.38267148014440433,461.0
销售经理,0.3813186813186813,0.2767145135566188,0.32070240295748614,1254.0
销售行政专员,0.0,0.0,0.0,103.0
销售行政助理,0.0,0.0,0.0,93.0
院校教务管理人员,0.5,0.012658227848101266,0.02469135802469136,79.0
面点师,0.75,0.841726618705036,0.7932203389830508,139.0
音乐,0.5391705069124424,0.7090909090909091,0.6125654450261779,165.0
项目经理,0.5672514619883041,0.41810344827586204,0.48138957816377176,232.0
风险管理,0.5421686746987951,0.4205607476635514,0.47368421052631576,107.0
餐饮服务员,0.0,0.0,0.0,69.0
餐饮管理,0.5905511811023622,0.4716981132075472,0.5244755244755244,159.0
高中教师,0.0,0.0,0.0,114.0
高级软件工程师,0.5272727272727272,0.19795221843003413,0.2878411910669975,293.0
accuracy,0.5836831059811123,0.5836831059811123,0.5836831059811123,0.5836831059811123
macro avg,0.4962905554387518,0.41265884155719623,0.4051456536056219,76240.0
weighted avg,0.5639145039983419,0.5836831059811123,0.5467317769031337,76240.0
